062013 4,Szczebrzeszyn,Zamojski,2912,29,4744,163,187,579,
061701 1,Świdnik,Świdnicki,2035,20,36680,1802,294,116,
060212 4,Tarnogród,Biłgorajski,1069,11,3109,291,550,710,
060102 1,Terespol,Bialski,1011,10,5121,507,565,554,
061801 1,Tomaszów Lubelski,Tomaszowski,1329,13,17848,1343,462,229,
060214 4,Turobin,Biłgorajski,160,2,823,514,870,974,
061812 4,Tyszowce,Tomaszowski,1852,18,1821,98,329,862,
060708 4,Urzędów,Kraśnicki,1292,13,1708,132,473,881,
061901 1,Włodawa,Włodawski,1797,18,12123,675,339,341,
066401 1,Zamość,Zamość,3033,30,58231,1920,178,67,
062015 4,Zwierzyniec,Zamojski,619,6,2780,449,715,741,
,WOJ. LUBUSKIE  (44 miasta  towns),,,,,,,,
080901 4,Babimost,Zielonogórski,365,4,3818,1046,817,644,
081103 4,Brody,Żarski,307,3,837,273,837,972,
080402 4,Bytom Odrzański,Nowosolski,230,2,3910,1700,854,636,
080501 4,Cybinka,Słubicki,529,6,2656,502,750,762,
080903 4,Czerwieńsk,Zielonogórski,936,9,3776,403,592,647,
080601 4,Dobiegniew,Strzelecko-drezdenecki,569,6,2985,525,737,719,
080602 4,Drezdenko,Strzelecko-drezdenecki,1072,11,9455,882,548,401,
086101 1,Gorzów Wielkopolski,Gorzów Wielkopolski,8573,86,115247,1344,37,29,
081001 1,Gozdnica,Żagański,2393,24,2726,114,238,752,
080201 1,Gubin,Krośnieński,2068,21,15606,755,287,276,
081004 4,Iłowa,Żagański,918,9,3593,391,598,666,
081104 4,Jasień,Żarski,477,5,4037,846,774,627,
080904 4,Kargowa,Zielonogórski,455,5,3827,841,787,642,
080101 1,Kostrzyn nad Odrą,Gorzowski,4615,46,17591,381,99,235,
080404 4,Kożuchów,Nowosolski,594,6,8892,1497,726,422,
080206 4,Krosno Odrzańskie,Krośnieński,815,8,10533,1292,639,372,
080702 4,Lubniewice,Sulęciński,1211,12,2004,165,499,843,
081106 4,Lubsko,Żarski,1258,13,12858,1022,481,327,
081101 1,Łęknica,Żarski,1643,16,2238,136,377,816,
081005 4,Małomice,Żagański,688,7,3420,497,690,683,
080302 4,Międzyrzecz,Międzyrzecki,1396,14,16832,1206,440,250,
080401 1,Nowa Sól,Nowosolski,2180,22,36040,1653,272,117,
080406 4,Nowe Miasteczko,Nowosolski,329,3,2636,801,831,766,
080905 4,Nowogród Bobrzański,Zielonogórski,1464,15,4767,326,423,578,
080503 4,Ośno Lubuskie,Słubicki,801,8,3889,486,642,640,
080407 4,Otyń,Nowosolski,787,8,1758,223,648,872,
080504 4,Rzepin,Słubicki,1142,11,6404,561,522,491,
080305 4,Skwierzyna,Międzyrzecki,3589,36,9078,253,139,414,
081201 4,Sława,Wschowski,1489,15,4103,276,416,618,
080505 4,Słubice,Słubicki,1921,19,16255,846,315,261,
080604 4,Strzelce Krajeńskie,Strzelecko-drezdenecki,554,6,9705,1752,742,394,
080906 4,Sulechów,Zielonogórski,683,7,15467,2265,694,278,
080704 4,Sulęcin,Sulęciński,856,9,9738,1138,620,392,
081202 4,Szlichtyngowa,Wschowski,155,2,1257,811,872,932,
081007 4,Szprotawa,Żagański,1095,11,10554,964,540,371,
080805 4,Świebodzin,Świebodziński,1693,17,20778,1227,362,201,
080705 4,Torzym,Sulęciński,911,9,2391,262,601,795,
080306 4,Trzciel,Międzyrzecki,304,3,2221,731,838,817,
080107 4,Witnica,Gorzowski,824,8,6434,781,633,487,
081203 4,Wschowa,Wschowski,926,9,12991,1403,595,321,
080806 4,Zbąszynek,Świebodziński,357,4,4898,1372,820,571,
086201 1,Zielona Góra,Zielona Góra,27536,275,138932,505,8,24,
081002 1,Żagań,Żagański,4038,40,23462,581,110,180,
081102 1,Żary,Żarski,3324,33,34837,1048,158,123,
,WOJ. ŁÓDZKIE  (60 miast  towns),,,,,,,,
102004 4,Aleksandrów Łódzki,Zgierski,1382,14,22002,1592,445,187,
100101 1,Bełchatów,Bełchatowski,3464,35,52331,1511,146,81,
101302 4,Biała Rawska,Rawski,953,9,3001,315,587,717,
100701 4,Białaczów,Opoczyński,2192,22,1089,50,269,945,
101402 4,Błaszki,Sieradzki,162,2,1987,1227,869,846,
101801 4,Bolesławiec,Wieruszowski,296,3,875,296,841,969,
101501 4,Bolimów,Skierniewicki,378,4,900,238,812,965,
102101 1,Brzeziny,Brzeziński,2158,22,11949,554,274,344,
100203 4,Dąbrowice,Kutnowski,1849,18,951,51,330,959,
100702 4,Drzewica,Opoczyński,481,5,3526,733,771,670,
100901 4,Działoszyn,Pajęczański,494,5,5239,1061,766,550,
102001 1,Głowno,Zgierski,1984,20,13116,661,306,316,
100404 4,Grabów,Łęczycki,918,9,1007,110,598,951,
101605 4,Inowłódz,Tomaszowski,1566,15,735,47,396,980,
102104 4,Jeżów,Brzeziński,1256,13,1254,100,483,933,
101205 4,Kamieńsk,Radomszczański,1199,12,2599,217,504,771,
100505 4,Kiernozia,Łowicki,459,5,806,176,785,975,
100607 4,Koluszki,Łódzki wschodni,990,10,12046,1217,572,342,
100801 1,Konstantynów Łódzki,Pabianicki,2725,27,19231,706,208,214,
100204 4,Krośniewice,Kutnowski,418,4,3991,955,800,631,
100201 1,Kutno,Kutnowski,3359,34,40723,1212,153,105,
100806 4,Lutomiersk,Pabianicki,520,5,1574,303,754,897,
101804 4,Lututów,Wieruszowski,1892,19,2200,116,321,818,
100302 4,Łask,Łaski,1567,15,16058,1025,395,263,
100401 1,Łęczyca,Łęczycki,895,9,13065,1460,606,317,
100501 1,Łowicz,Łowicki,2342,23,25972,1109,245,166,
106101 1,Łódź,Łódź,29325,293,652015,2223,6,4,
100704 4,Opoczno,Opoczyński,2698,27,18913,701,214,218,
101705 4,Osjaków,Wieluński,828,8,1309,158,632,928,
102002 1,Ozorków,Zgierski,1546,15,18064,1168,401,227,
100802 1,Pabianice,Pabianicki,3299,33,60598,1837,160,63,
100904 4,Pajęczno,Pajęczański,2023,20,6370,315,298,494,
102007 4,Parzęczew,Zgierski,645,7,918,142,707,962,
100406 4,Piątek,Łęczycki,524,5,1551,296,752,899,
106201 1,Piotrków Trybunalski,Piotrków Trybunalski,6724,67,66519,989,66,55,
101103 4,Poddębice,Poddębicki,587,6,6756,1151,729,478,
101211 4,Przedbórz,Radomszczański,608,6,3182,523,719,704,
101201 1,Radomsko,Radomszczański,5143,51,42973,836,81,101,
101301 1,Rawa Mazowiecka,Rawski,1429,14,15941,1116,433,267,
101008 4,Rozprza,Piotrkowski,418,4,1622,388,800,892,
100610 4,Rzgów,Łódzki wschodni,1677,17,3457,206,369,678,
101401 1,Sieradz,Sieradzki,5122,51,38729,756,82,109,
106301 1,Skierniewice,Skierniewice,3460,35,45184,1306,148,92,
102008 4,Stryków,Zgierski,815,8,3363,413,639,688,
101009 4,Sulejów,Piotrkowski,2626,26,5932,226,219,511,
101902 4,Szadek,Zduńskowolski,1793,18,1761,98,340,871,
101601 1,Tomaszów Mazowiecki,Tomaszowski,4130,41,57438,1391,105,68,
100611 4,Tuszyn,Łódzki wschodni,2325,23,7171,308,247,463,
101610 4,Ujazd,Tomaszowski,1019,10,1533,150,563,903,
101104 4,Uniejów,Poddębicki,1224,12,2982,244,495,720,
101409 4,Warta,Sieradzki,1085,11,2935,271,543,726,
101709 4,Wieluń,Wieluński,1687,17,20448,1212,363,204,
101807 4,Wieruszów,Wieruszowski,597,6,8332,1396,724,433,
101011 4,Wolbórz,Piotrkowski,1518,15,2270,150,407,812,
101901 1,Zduńska Wola,Zduńskowolski,2458,25,38402,1562,234,111,
100108 4,Zelów,Bełchatowski,1075,11,7059,657,546,470,
102003 1,Zgierz,Zgierski,4233,42,53543,1265,102,77,
101411 4,Złoczew,Sieradzki,1379,14,3403,247,446,686,
100708 4,Żarnów,Opoczyński,962,10,1096,114,584,944,
100211 4,Żychlin,Kutnowski,868,9,7494,863,615,452,
,WOJ. MAŁOPOLSKIE  (64 miasta  towns),,,,,,,,
120301 4,Alwernia,Chrzanowski,888,9,3244,365,608,699,
121801 4,Andrychów,Wadowicki,1034,10,18311,1771,557,222,
120502 4,Biecz,Gorlicki,1772,18,4313,243,345,603,
120503 4,Bobowa,Gorlicki,718,7,3060,426,675,712,
120101 1,Bochnia,Bocheński,2989,30,28441,952,184,153,
120202 4,Brzesko,Brzeski,1191,12,15928,1337,506,269,
121302 4,Brzeszcze,Oświęcimski,1903,19,10657,560,317,365,
121201 1,Bukowno,Olkuski,6450,64,9467,147,70,400,
121303 4,Chełmek,Oświęcimski,829,8,8413,1015,631,430,
120303 4,Chrzanów,Chrzanowski,3831,38,33928,886,120,128,
121601 4,Ciężkowice,Tarnowski,999,10,2482,248,568,781,
121103 4,Czarny Dunajec,Nowotarski,3798,38,3680,97,125,654,
120203 4,Czchów,Brzeski,1409,14,2276,162,437,811,
120402 4,Dąbrowa Tarnowska,Dąbrowski,2321,23,11458,494,248,354,
120901 4,Dobczyce,Myślenicki,1297,13,6163,475,472,500,
120501 1,Gorlice,Gorlicki,2353,24,25523,1085,242,167,
121001 1,Grybów,Nowosądecki,1696,17,5947,351,360,508,
121501 1,Jordanów,Suski,2103,21,5403,257,280,538,
121803 4,Kalwaria Zebrzydowska,Wadowicki,550,5,4300,782,744,605,
121304 4,Kęty,Oświęcimski,2302,23,17669,768,251,233,
121402 4,Koszyce,Proszowicki,325,3,759,234,832,979,
126101 1,Kraków,Kraków,32685,327,806201,2467,4,2,
121007 4,Krynica-Zdrój,Nowosądecki,3969,40,9597,242,114,395,
120606 4,Krzeszowice,Krakowski,1696,17,9743,574,360,391,
120804 4,Książ Wielki,Miechowski,562,6,839,149,740,971,
120304 4,Libiąż,Chrzanowski,3586,36,15912,444,140,270,
120701 1,Limanowa,Limanowski,1870,19,14430,772,324,295,
121506 4,Maków Podhalański,Suski,2012,20,5534,275,300,530,
120805 4,Miechów,Miechowski,1549,15,10918,705,400,360,
120702 1,Mszana Dolna,Limanowski,2710,27,7826,289,210,451,
121011 4,Muszyna,Nowosądecki,2443,24,4433,181,237,593,
120903 4,Myślenice,Myślenicki,3022,30,17745,587,180,230,
121904 4,Niepołomice,Wielicki,2740,27,16805,613,205,254,
121403 4,Nowe Brzesko,Proszowicki,726,7,1604,221,671,893,
126201 1,Nowy Sącz,Nowy Sącz,5760,58,80358,1395,77,44,
121101 1,Nowy Targ,Nowotarski,5107,51,33065,647,83,132,
120106 4,Nowy Wiśnicz,Bocheński,497,5,2730,549,765,750,
121205 4,Olkusz,Olkuski,2565,26,32261,1258,226,136,
121301 1,Oświęcim,Oświęcimski,3014,30,35577,1180,181,120,
121013 4,Piwniczna-Zdrój,Nowosądecki,3829,38,5385,141,121,539,
121405 4,Proszowice,Proszowicki,734,7,5744,783,669,520,
121112 4,Rabka-Zdrój,Nowotarski,3670,37,12233,333,132,337,
121605 4,Radłów,Tarnowski,1683,17,2698,160,366,755,
121606 4,Ryglice,Tarnowski,2515,25,2673,106,231,760,
120610 4,Skała,Krakowski,297,3,3880,1306,840,641,
120611 4,Skawina,Krakowski,2050,21,23967,1169,291,177,
120612 4,Słomniki,Krakowski,343,4,4161,1213,824,613,
121016 4,Stary Sącz,Nowosądecki,1500,15,8701,580,413,425,
121502 1,Sucha Beskidzka,Suski,2765,28,8868,321,202,423,
120907 4,Sułkowice,Myślenicki,1644,16,6464,393,376,486,
121102 4,Szczawnica,Nowotarski,3290,33,5208,158,161,552,
120407 4,Szczucin,Dąbrowski,685,7,4086,596,692,622,
120614 4,Świątniki Górne,Krakowski,444,4,2385,537,792,797,
126301 1,Tarnów,Tarnów,7237,72,103129,1425,60,34,
120305 4,Trzebinia,Chrzanowski,3195,32,18502,579,170,220,
121610 4,Tuchów,Tarnowski,1810,18,6176,341,336,499,
121809 4,Wadowice,Wadowicki,1052,11,17196,1635,553,242,
121905 4,Wieliczka,Wielicki,1341,14,27845,2076,458,159,
121613 4,Wojnicz,Tarnowski,850,8,3141,370,622,707,
121207 4,Wolbrom,Olkuski,1012,10,8045,795,564,444,
121614 4,Zakliczyn,Tarnowski,402,4,1579,393,804,896,
121701 1,Zakopane,Tatrzański,8426,84,25204,299,43,169,
121309 4,Zator,Oświęcimski,1151,12,3601,313,519,665,
121615 4,Żabno,Tarnowski,1113,11,4100,368,532,621,
,WOJ. MAZOWIECKIE  (110 miast  towns),,,,,,,,
140101 4,Białobrzegi,Białobrzeski,751,8,6407,853,662,490,
143701 4,Bieżuń,Żuromiński,1207,12,1713,142,500,879,
143201 4,Błonie,Warszawski zachodni,909,9,12172,1339,602,339,
141902 4,Bodzanów,Płocki,491,5,1130,230,767,940,
141604 4,Brok,Ostrowski,2806,28,1731,62,196,875,
142103 4,Brwinów,Pruszkowski,1469,15,14568,992,421,288,
141204 4,Cegłów,Miński,767,8,2311,301,655,807,
142202 4,Chorzele,Przasnyski,1751,18,2894,165,349,731,
140201 1,Ciechanów,Ciechanowski,3278,33,41740,1273,163,102,
140902 4,Ciepielów,Lipski,686,7,732,107,691,981,
142004 4,Czerwińsk nad Wisłą,Płoński,551,5,981,178,743,954,
141206 4,Dobre,Miński,861,9,1815,211,617,865,
141905 4,Drobin,Płocki,965,10,2631,273,582,767,
140301 1,Garwolin,Garwoliński,2208,22,17268,782,266,239,
141906 4,Gąbin,Płocki,2795,28,4124,148,198,615,
142302 4,Gielniów,Przysuski,1207,12,776,64,500,978,
140203 4,Glinojeck,Ciechanowski,737,7,2788,378,668,739,
140702 4,Głowaczów,Kozienicki,596,6,826,139,725,973,
140401 1,Gostynin,Gostyniński,3239,32,16986,524,166,246,
141801 4,Góra Kalwaria,Piaseczyński,1460,15,12129,831,425,340,
140504 4,Grodzisk Mazowiecki,Grodziski,1319,13,34718,2632,466,125,
140605 4,Grójec,Grójecki,857,8,16807,1961,619,253,
141207 4,Halinów,Miński,284,3,3752,1321,843,649,
142503 4,Iłża,Radomski,1583,16,4280,270,392,608,
143406 4,Jadów,Wołomiński,462,5,907,196,783,963,
143002 4,Jastrząb,Szydłowiecki,1255,13,1178,94,484,936,
142506 4,Jedlnia-Letnisko,Radomski,821,8,3957,482,636,634,
141701 1,Józefów,Otwocki,2392,24,21217,887,239,197,
141209 4,Kałuszyn,Miński,1230,12,2699,219,493,754,
141704 4,Karczew,Otwocki,2812,28,9245,329,195,411,
143401 1,Kobyłka,Wołomiński,1964,20,28339,1443,309,154,
141802 4,Konstancin-Jeziorna,Piaseczyński,1775,18,16894,952,344,249,
